,Task/Intent,command
0,Open Applications,Launch my browser
1,System Settings,Go to system settings
2,File Management,Show me the file manager
3,Web Browsing,Open Google
4,Media Control,Play some songs
5,System Shutdown,Shut down the computer
6,System Information,Show me the system info
7,File Search,Find my documents
8,Network Management,Open network settings
9,Software Installation,Install an application
10,System Information,What are the details of my system?
11,Battery Management,How is my battery level?
12,Task Management,Show me the active tasks
13,File Management,Can you open the file manager?
14,File Search,Find a file on my system
15,Internet Connectivity,Check my network status
16,Software Installation,Install an app for me
17,Application Control,Launch the browser
18,System Settings,Open system preferences
19,Shutdown/Restart,Restart my computer
20,Network Management,Can you open my WiFi settings?
21,Web Browsing,Open a new browser window
22,Task Management,Show me the list of running apps
23,System Updates,Check for system updates
24,File Backup,Can you back up my files?
25,System Troubleshooting,Can you check for issues on my system?
26,System Monitoring,Monitor my CPU usage
27,File Compression,Can you zip my files?
28,Cloud Storage,Can you upload my files to the cloud?
29,Application Control,Can you close all my apps?
30,System Restart,Please restart my system
31,Device Management,Manage my devices
32,Printer Management,Check the printer status
33,Keyboard Shortcuts,Show me the keyboard shortcuts
34,Clipboard Management,Can you show my clipboard?
35,Screen Capture,Take a screenshot for me
36,System Time,What time is it on my system?
37,Taskbar Management,Can you open the taskbar settings?
38,Network Troubleshooting,Check my internet connection for issues
39,Cloud Backup,Sync my files with the cloud
40,System Information,What is my system's information?
41,Battery Management,How much battery is left?
42,Task Management,What tasks are running on my computer?
43,File Management,Can you open the file explorer?
44,File Search,Can you search for a document?
45,Internet Connectivity,How's my internet connection?
46,Software Installation,Please install this application
47,Application Control,Open my web browser
48,System Settings,Open the system preferences for me
49,Shutdown/Restart,Can you restart my computer?
50,Opening/Closing Apps,Start the music player
51,File Browsing,Open my downloads directory
52,Command Line Operations,Can you list the files here?
53,File Permissions,Change the permissions for this file
54,Creating/Editing Files,Create a blank document
55,Package Management,Install VLC media player
56,System Updates,Can you update my system?
57,Managing Users and Groups,Create a new user account
58,System Logs,Can you show me the log file?
59,Disk Management,List the partitions on my disk
60,Network Configuration,Can you connect me to Wi-Fi?
61,File Sharing,Share a folder over the network
62,SSH Connections,Log in to my remote machine
63,Internet Browsing,Open Chrome
64,VPN Setup,Connect to a VPN
65,Resource Monitoring,Check my CPU usage
66,Processes Management,Terminate the Firefox process
67,Hardware Info,Give me the system specs
68,Backup and Recovery,Backup all files
69,Virtualization,Launch a virtual machine
70,Opening/Closing Apps,Open the music player
71,File Browsing,Show me my downloads folder
72,Command Line Operations,List all files in this folder
73,File Permissions,Give me full control over this file
74,Creating/Editing Files,Open a new text file
75,Package Management,Install VLC
76,System Updates,Update the system
77,Managing Users and Groups,Add a new user
78,System Logs,Show me the system log
79,Disk Management,Show me my disk partitions
80,Network Configuration,Connect to Wi-Fi
81,File Sharing,Share this folder with John
82,SSH Connections,Connect to server X
83,Internet Browsing,Open Firefox
84,VPN Setup,Set up a VPN connection
